proposicao,id_camara,id_senado,row,id_leggo
MPV 808/2017,NA,131611,10538,c5e6184226e43017f557beb06bb6dc17
MPV 692/2015,1738686,NA,10605,b765e51213056ad0f5349881163da531
MPV 989/2020,NA,143319,10699,f43a3b2a6b2c99c76b71dcb9a725d490
MPV 793/2017,NA,130155,10725,87f2394c80293f9a340e8fb9b8d89af4
MPV 550/2011,527728,NA,10875,0695f4bd3955444d4b525f1dae9bcad1
MPV 793/2017,2145957,NA,10880,92958d41d869d2324885cb4a9e14b67e
MPV 686/2015,1594485,NA,10928,c375978c63421a3a05d31633505e3d5d
MPV 952/2020,2249331,NA,10988,a0089da3798e0512531677776cc8ab4d
MPV 972/2020,NA,142131,10997,a275932976a20d3114662087cccbc381
MPV 607/2013,565097,NA,11015,ff1ce054b3be2df3c3f3ba315c88f99a
MPV 581/2012,556331,NA,11019,0d10f235c0bec51c33b5c023829c74bf
MPV 640/2014,609198,NA,11064,3a5c8aef934e61f961cdb1b791f42c46
MPV 641/2014,NA,116595,11079,b99db41d8086a5e43e54b4fa73a91886
MPV 997/2020,2261249,NA,11120,9c46fb0f37486f4af42d7c594ad6067b
MPV 1010/2020,NA,145590,11156,730701b6bd38b427954c8025eda3896e
MPV 891/2019,2213323,NA,11195,b4fdbb0d6c12e399ac85a7a85bb8ef44
MPV 668/2015,944494,NA,11278,3b170362418583569e0a7fff6f48b4b0
MPV 701/2015,2058404,NA,11303,c01e8f9c9bb7be07f066a232d1870426
MPV 788/2017,NA,130144,11330,d9e0ab9bb75666ac8e0aeaac6eef3686
MPV 922/2020,NA,140840,11349,0195bcea8a1d51c473fee32175d53784
MPV 720/2016,2080682,NA,11446,e66821dbe64016619677a70626dc70ec
MPV 957/2020,NA,141700,11459,96a860ffd6a2a6cc48cf1a3653f61772
MPV 948/2020,NA,141495,11504,c80896be21006bec38701ee75bb403be
MPV 896/2019,NA,138579,11532,cabf8fb86f48d4eb4e2321ee19d42566
MPV 934/2020,NA,141349,11533,17f8b32fa7505523330e175360e85915
MPV 1034/2021,NA,147064,11613,f4ac79f48059c44d6ab768bcab084fac
MPV 829/2018,2173911,NA,11681,c42b2bd714ad5105c51f64e0446d9432
MPV 716/2016,NA,125133,11747,72bd136c39f2f34d8fba795c032f6d41
MPV 1012/2020,NA,145627,11919,ed2d70bef82bb4cc3485dd89f74e5f74
MPV 675/2015,1280621,NA,11989,5de2b62836e23f1fee9cc481a224c18c
MPV 597/2012,564453,NA,11998,fde19c2bb3cb1d4e5b8015e455c6ddef
MPV 704/2015,NA,124589,12008,8692463901ed93b785267daee667f828
MPV 1002/2020,NA,144917,12106,f14f2c6a76fa72d57116d4816be9f085
MPV 983/2020,2255363,NA,12170,f37a878fc59e88304f86d5e20e12d324
MPV 697/2015,2017324,NA,12236,14b30fe7610689451ce3d87896db19b9
MPV 936/2020,NA,141375,12244,f1e49c5e61206fc7c8eff06d0f8a758e
MPV 654/2014,NA,118447,12274,d81766c9ee691650fe1255298c25a0bb
MPV 980/2020,NA,142490,12278,e9ceec00ddfaa09c9ac976408d692626
MPV 848/2018,NA,134134,12301,088538fdac553a350ea86254a2a981c0
MPV 771/2017,2127797,NA,12308,91de585cf85a090b97b156a73ddf8e68
MPV 945/2020,2242888,NA,12365,c6191e222f66973e54dbb705c374dcb8
MPV 794/2017,2147143,NA,12376,6d0c66245db3acca67956ff9d246b00c
MPV 766/2017,2122128,NA,12446,a9446e83d31cca669b11c1d8691342cf
MPV 933/2020,2242401,NA,12580,706007124b831de9a794fc4bf59832c3
MPV 699/2015,2053656,NA,12593,28f41912264514d8ade25c27065e7187
MPV 551/2011,528165,NA,12700,0530c84330170cf3a076fdbefcf50a4f
MPV 915/2019,NA,140385,12744,4f9195c4847ee80b984d541855189381
MPV 920/2020,2236262,NA,12823,2bba5406fd4c9e78de66f3c596932b47
MPV 671/2015,NA,120203,12826,d93147634f907dff7e39af5a467c0dbe
MPV 620/2013,580951,NA,12885,0fe888d6c75cbb7691e22c30716051ee
MPV 844/2018,NA,133867,12927,df1fbc3a163905bfcf71db8f2e6409a3
MPV 897/2019,2222884,NA,13011,8c1718bda436c7f5d067123b5aa82474
MPV 932/2020,2242400,NA,13024,250198aa270e5cdd7c6eeae0d27abe50
MPV 639/2014,609196,NA,13031,0bd531b7bee4b6b65a1c04a38ffb5be4
MPV 830/2018,NA,133333,13228,5fb34f29fbb7cc6b854b6d7a48f6e2fc
MPV 775/2017,NA,128702,13238,e14dcae10525c27e8c0c706ca2430ab4
MPV 855/2018,NA,134581,13279,19ae9b6680db2f59d62c0311f83a9692
MPV 882/2019,2200044,NA,13284,cf91f0d62ca0c55cee97886f539727da
MPV 852/2018,2183943,NA,13325,38c90f189cf51774f4724eb2b72d8fc7
MPV 895/2019,NA,138578,13327,b0b692b9ac78d40bfaa2585f60e666aa
MPV 677/2015,1514525,NA,13504,5e16a52ab622234ba4ba655e93b0c44f
MPV 798/2017,NA,130590,13533,015ab14456f4a81552c06b924635d127
MPV 655/2014,NA,118476,13566,e4794d79de483ce5f663b1dc48b55c1b
PLS 20/2018,NA,132141,13656,3236dd1ed539bb87d3d586b02a400f41
MPV 723/2016,2082828,NA,13665,96e22ca8424ea8592b1f31eaf0a7f4f6
MPV 722/2016,2082802,NA,13678,37b214d8e03de59717e49f00eb6b8445
MPV 641/2014,609200,NA,13704,43a87d2b17b939c923b9b609613b0e4e
MPV 659/2014,NA,118854,13876,7e10f2312231c95a2d389c07ed37a61c
MPV 593/2012,562466,NA,13878,f673abbfdfb8293e2dc8eeb6ea30e44e
MPV 807/2017,NA,131404,13895,77d266b211459289821a01af7030781e
MPV 853/2018,NA,134257,13907,0c4220d460c967d2102eea42868bf922
MPV 736/2016,2089827,NA,13923,fe63045e1b65a279fa42054482290591
MPV 799/2017,NA,130676,14022,aad34176ee440a9bd09b94fcdbb78254
MPV 844/2018,2181294,NA,14101,4c6c9a86261c4bf04d4a7c657bc95309
MPV 1009/2020,NA,145428,14108,faea9d77b14e0eabd6ccb6c53c4636f9
